year,recipient,recipient_iso3,aid,debt,aid_socgov,aid_econ,aid_human
2001,Bangladesh,BGD,0,696379118.862648,0,0,0
2002,Bangladesh,BGD,41937129.7628355,0,0,41937129.7628355,0
2003,Bangladesh,BGD,0,0,0,0,0
2004,Bangladesh,BGD,1869660.664238564,0,0,0,1869660.664238564
2005,Bangladesh,BGD,0,42582439.1765635,0,0,0
2006,Bangladesh,BGD,11059647.6524693,0,11059647.6524693,0,0
2007,Bangladesh,BGD,3637175.161494821,0,0,0,3637175.161494821
2008,Bangladesh,BGD,135211493.200314,0,0,135211493.200314,0
2009,Bangladesh,BGD,0,0,0,0,0
2010,Bangladesh,BGD,34747963.7228961,120863315.543502,0,34747963.7228961,0
2011,Bangladesh,BGD,326020644.0138895,0,1544712.92121951,225349968.233664,0
2012,Bangladesh,BGD,258314050.61345,331014025.003129,0,258314050.61345,0
2013,Bangladesh,BGD,368994323.83127,187787408.0006244,368994323.83127,0,0
2014,Bangladesh,BGD,163114079.701758,438795920.0942312,0,163114079.701758,0
2015,Bangladesh,BGD,225784849.2470996,166545984.7326288,4465013.8285963,221319835.41850328,0
2016,Bangladesh,BGD,1069011188.0974034,2449526837.370879,355834845.06945926,713176343.0279442,0
2017,Bangladesh,BGD,162376986.1309679,2277020000,0,158376986.1309679,4000000
2000,Bulgaria,BGR,0,1345414.93938664,0,0,0
2001,Bulgaria,BGR,0,45069903.638799906,0,0,0
2002,Bulgaria,BGR,0,0,0,0,0
2003,Bulgaria,BGR,0,0,0,0,0
2004,Bulgaria,BGR,0,0,0,0,0
2005,Bulgaria,BGR,0,1168226.55601518,0,0,0
2006,Bulgaria,BGR,0,0,0,0,0
2007,Bulgaria,BGR,0,123170.449311588,0,0,0
2008,Bulgaria,BGR,0,0,0,0,0
2009,Bulgaria,BGR,0,9055551.10041868,0,0,0
2010,Bulgaria,BGR,0,818.368135388549,0,0,0
2011,Bulgaria,BGR,0,141075456.68084928,0,0,0
2012,Bulgaria,BGR,0,169072916.42370957,0,0,0
2013,Bulgaria,BGR,0,0,0,0,0
2014,Bulgaria,BGR,0,0,0,0,0
2015,Bulgaria,BGR,0,0,0,0,0
2016,Bulgaria,BGR,0,174293565.2015873,0,0,0
2017,Bulgaria,BGR,0,146601440.3027657,0,0,0
2000,Belarus,BLR,0,1345414.93938664,0,0,0
2001,Belarus,BLR,0,2619074.30346537,0,0,0
2002,Belarus,BLR,0,2621070.61017722,0,0,0
2003,Belarus,BLR,0,1332099.23149715,0,0,0
2004,Belarus,BLR,0,1194260.41345185,0,0,0
2005,Belarus,BLR,99997025.84597224,346949068.8938,4597564.40671136,95399461.43926089,0
2006,Belarus,BLR,0,0,0,0,0
2007,Belarus,BLR,81265809.6149644,0,14369885.7530187,66895923.8619457,0
2008,Belarus,BLR,38087744.5634689,473229221.492796,0,38087744.5634689,0
2009,Belarus,BLR,0,185727240.916626,0,0,0
2010,Belarus,BLR,5317985.88391409,1097543605.338922,5317985.88391409,0,0
2011,Belarus,BLR,0,1130102266.378806,0,0,0
2012,Belarus,BLR,0,636328630.35736,0,0,0
2013,Belarus,BLR,39506886.9198362,499963919.4741047,23704132.1519017,0,0
2014,Belarus,BLR,14077334.9185948,28671598.1172927,0,14077334.9185948,0
2015,Belarus,BLR,88905674.39792652,638416239.8593404,82805316.71201369,6100357.68591283,0
2016,Belarus,BLR,65399870.7228314,1434989359.91264,65399870.7228314,0,0
2017,Belarus,BLR,31260329.193052728,250785000,6258281.204195229,25002047.9888575,0
2000,Botswana,BWA,5244567.62596581,0,5244567.62596581,0,0
2001,Botswana,BWA,21094817.8285375,9908831.11477733,21094817.8285375,0,0
2002,Botswana,BWA,0,0,0,0,0
2003,Botswana,BWA,66470632.7904245,4266135.453398,15379220.8284197,51091411.9620048,0
2004,Botswana,BWA,0,0,0,0,0
2005,Botswana,BWA,0,0,0,0,0
2006,Botswana,BWA,47480386.816014476,0,14301443.85860638,33178942.9574081,0
2007,Botswana,BWA,30615626.656440563,0,2566051.027324763,28049575.6291158,0
2008,Botswana,BWA,6020018.306101351,0,6020018.306101351,0,0
2009,Botswana,BWA,18231.76468549488,1075628194.29734,18231.76468549488,0,0
2010,Botswana,BWA,0,0,0,0,0
2011,Botswana,BWA,3273182.848426252,0,3273182.848426252,0,0
2012,Botswana,BWA,0,0,0,0,0
2013,Botswana,BWA,13128034.749457495,0,13128034.749457495,0,0
2014,Botswana,BWA,18797.4472244905,0,18797.4472244905,0,0
2015,Botswana,BWA,14480821.545188388,0,11695458.055669148,16511.4634344871,0
2016,Botswana,BWA,12339889.2847154,0,12339889.2847154,0,0
2017,Botswana,BWA,1015481.8829641212,0,0,0,1015481.8829641212
2000,Central African Republic,CAF,0,0,0,0,0
2001,Central African Republic,CAF,20472430.805421,0,0,0,0
2002,Central African Republic,CAF,30351997.66585228,0,30351997.66585228,0,0
2003,Central African Republic,CAF,4435920.974958396,0,418478.84822095605,0,0
2004,Central African Republic,CAF,5493597.901878522,0,5493597.901878522,0,0
2005,Central African Republic,CAF,2758538.64402682,119460798.289351,0,0,0
2006,Central African Republic,CAF,31584778.077398583,0,31584778.077398583,0,0
2007,Central African Republic,CAF,34605015.47458049,0,2220326.0718472507,0,0
2008,Central African Republic,CAF,12834181.95298138,0,1317580.67123788,11516601.2817435,0
2009,Central African Republic,CAF,9146750.997405587,0,1965637.6647925766,7181113.33261301,0
2010,Central African Republic,CAF,32886542.96011932,0,0,32853527.7189947,33015.2411246197
2011,Central African Republic,CAF,15846983.3318712,0,15846983.3318712,0,0
2012,Central African Republic,CAF,0,0,0,0,0
2013,Central African Republic,CAF,0,0,0,0,0
2014,Central African Republic,CAF,0,0,0,0,0
2015,Central African Republic,CAF,8765744.73637321,0,0,8765744.73637321,0
2016,Central African Republic,CAF,103706.702891245,0,103706.702891245,0,0
2017,Central African Republic,CAF,2309262.409154167,0,309262.4091541668,0,0
2000,Côte d’Ivoire,CIV,2690829.87877328,0,0,2690829.87877328,0
2001,Côte d’Ivoire,CIV,0,0,0,0,0
2002,Côte d’Ivoire,CIV,49802033.6517096,0,49802033.6517096,0,0
2003,Côte d’Ivoire,CIV,0,0,0,0,0
2004,Côte d’Ivoire,CIV,0,0,0,0,0
2005,Côte d’Ivoire,CIV,0,0,0,0,0
2006,Côte d’Ivoire,CIV,5280195.194942077,0,5059002.24189269,221192.953049387,0
2007,Côte d’Ivoire,CIV,38905925.33666987,0,1954790.54319327,0,0
2008,Côte d’Ivoire,CIV,52090960.51548219,0,6385667.03931959,45705293.4761626,0
2009,Côte d’Ivoire,CIV,9538113.6394498,0,9538113.6394498,0,0
2010,Côte d’Ivoire,CIV,34281941.9676467,0,34281941.9676467,0,0
2011,Côte d’Ivoire,CIV,18733241.575476464,122575430.588519,905541.904678354,2969352.6231739,2467601.69024851
2012,Côte d’Ivoire,CIV,138096354.62398338,0,138096354.62398338,0,0
2013,Côte d’Ivoire,CIV,0,485830935.109894,0,0,0
2014,Côte d’Ivoire,CIV,145613305.15281925,764640199.874288,145613305.15281925,0,0
2015,Côte d’Ivoire,CIV,208057908.81400844,591839826.975042,797891.726800552,207260017.0872079,0
2016,Côte d’Ivoire,CIV,94578766.14234468,58534534.6948088,94578766.14234468,0,0
2017,Côte d’Ivoire,CIV,119979442.93963206,0,111678.0921945603,119867764.8474375,0
2000,Cameroon,CMR,0,0,0,0,0
2001,Cameroon,CMR,127735205.5047661,0,53528100.2399139,0,0
2002,Cameroon,CMR,0,0,0,0,0
2003,Cameroon,CMR,13033130.903250996,0,13033130.903250996,0,0
2004,Cameroon,CMR,0,0,0,0,0
2005,Cameroon,CMR,0,0,0,0,0
2006,Cameroon,CMR,1647635.8013020803,0,1618880.71740566,0,0
2007,Cameroon,CMR,178446753.24777845,0,48343323.289497994,80060792.05253276,0
2008,Cameroon,CMR,0,0,0,0,0
2009,Cameroon,CMR,73093686.01138166,194488205.81175208,73093686.01138166,0,0
2010,Cameroon,CMR,65528503.656908095,53734667.522441104,0,60171950.2244633,0
2011,Cameroon,CMR,147780289.62896815,1030165504.813138,147780289.62896815,0,0
2012,Cameroon,CMR,19184295.069864538,663148405.1678071,16271512.334773226,2912782.73509131,0
2013,Cameroon,CMR,291323784.14687216,151142003.912688,290612660.1823151,0,0
2014,Cameroon,CMR,1559.42327243985,371823701.186242,1559.42327243985,0,0
2015,Cameroon,CMR,95492551.94322379,1102528504.433769,3334522.5082539767,92158029.43496981,0
2016,Cameroon,CMR,144683213.72043684,0,144683213.72043684,0,0
2017,Cameroon,CMR,305149100.05399656,609600000,14310630.18465517,289824724.873379,0
2000,Congo - Kinshasa,COD,22268879.172339052,21526639.0301862,6682804.15363009,14240777.55762878,0
2001,Congo - Kinshasa,COD,0,0,0,0,0
2002,Congo - Kinshasa,COD,51892510.0173166,0,0,0,0
2003,Congo - Kinshasa,COD,13794658.06136059,0,13794658.06136059,0,0
2004,Congo - Kinshasa,COD,7165506.49707426,0,7165506.49707426,0,0
2005,Congo - Kinshasa,COD,0,0,0,0,0
2006,Congo - Kinshasa,COD,61329629.63183278,186923927.128518,0,61329629.63183278,0
2007,Congo - Kinshasa,COD,76604985.9101661,163950685.632398,12011039.2368654,13328352.8289956,0
2008,Congo - Kinshasa,COD,113966532.89658143,4178873730.428327,4345952.982187209,103002729.86275248,0
2009,Congo - Kinshasa,COD,25820017.994146615,136677395.10700098,5180618.77704229,19876044.78417517,763354.432929156
2010,Congo - Kinshasa,COD,3534752.1856649993,125047587.2594159,3534752.1856649993,0,0
2011,Congo - Kinshasa,COD,313384353.4573532,413141748.1845248,5606624.033087079,307777729.4242661,0
2012,Congo - Kinshasa,COD,30416082.276683073,65538700.0464061,23886938.452403083,5510639.13196267,1018504.69231732
2013,Congo - Kinshasa,COD,10301415.283813672,0,9958380.408731494,343034.875082178,0
2014,Congo - Kinshasa,COD,17370719.534663856,28912535.9165977,16271092.997890295,1099626.53677356,0
2015,Congo - Kinshasa,COD,62694295.15114236,494703632.11820555,56540235.58293299,6154059.568209368,0
2016,Congo - Kinshasa,COD,1796650.04603907,716456314.9827877,1796650.04603907,0,0
2017,Congo - Kinshasa,COD,77518958.92877133,0,77018958.92877133,0,500000
2000,Congo - Brazzaville,COG,9420562.248602323,0,1007574.9994225041,8412987.24917982,0
2001,Congo - Brazzaville,COG,110088423.2223278,0,16238260.6814853,0,0
2002,Congo - Brazzaville,COG,20968564.8814178,0,20968564.8814178,0,0
2003,Congo - Brazzaville,COG,70392444.53265509,503237487.454479,19301032.57065028,51091411.9620048,0
2004,Congo - Brazzaville,COG,6919362.98920909,0,6919362.98920909,0,0
2005,Congo - Brazzaville,COG,0,1038788491.52233,0,0,0
2006,Congo - Brazzaville,COG,687310754.3115062,0,132960899.28151321,554349855.0299929,0
2007,Congo - Brazzaville,COG,824707961.5380388,126476243.202136,132992211.67944689,641749826.618242,0
2008,Congo - Brazzaville,COG,101210473.65881114,0,943024.0231331714,100267449.63567796,0
2009,Congo - Brazzaville,COG,23407263.12508845,0,23407263.12508845,0,0
2010,Congo - Brazzaville,COG,208006910.27778068,0,207884902.73482198,122007.542958683,0
2011,Congo - Brazzaville,COG,122748827.58386406,76896671.6247575,10858198.09161196,102916980.879461,0
2012,Congo - Brazzaville,COG,1079358818.5182083,0,14259065.6924424,1061914560.0654023,3185192.7603635597
2013,Congo - Brazzaville,COG,302861234.52497655,0,167026904.81717286,135834329.7078037,0
2014,Congo - Brazzaville,COG,395634259.19647366,0,395536795.24194616,0,0
2015,Congo - Brazzaville,COG,0,0,0,0,0
2016,Congo - Brazzaville,COG,1143385.3978718221,0,1071635.92987619,0,0
2017,Congo - Brazzaville,COG,274607917.2805625,160875460.47,52716690.547992885,215891226.7325696,3000000
2000,Comoros,COM,11144153.6520331,0,0,11144153.6520331,0
2001,Comoros,COM,16186514.05490667,0,5273704.45713437,0,0
2002,Comoros,COM,0,77587.5272079827,0,0,0
2003,Comoros,COM,0,0,0,0,0
2004,Comoros,COM,17987296.49809204,0,388571.655865442,17598724.8422266,0
2005,Comoros,COM,5682584.194385886,0,0,0,31947.893183926
2006,Comoros,COM,2433122.48354326,0,2433122.48354326,0,0
2007,Comoros,COM,499659.2324035,0,499659.2324035,0,0
2008,Comoros,COM,1333071.05972141,0,1333071.05972141,0,0
2009,Comoros,COM,14433123.940608,0,14433123.940608,0,0
2010,Comoros,COM,39690328.27333674,0,0,39690328.27333674,0
2011,Comoros,COM,0,0,0,0,0
2012,Comoros,COM,735955.5295611001,0,0,532254.591097636,203700.938463464
2013,Comoros,COM,524526.3174854,0,0,524526.3174854,0
2014,Comoros,COM,32729803.68573303,0,28154669.8371897,4575133.84854333,0
2015,Comoros,COM,348292.8055967598,0,93173.8715609168,0,255118.934035843
2016,Comoros,COM,5850777.90545869,0,0,5850777.90545869,0
2017,Comoros,COM,3506468.53261563,0,0,2062628.54859743,0
2000,Cape Verde,CPV,6188908.72117855,0,6188908.72117855,0,0
2001,Cape Verde,CPV,16815965.90175092,0,3710810.32577202,0,0
2002,Cape Verde,CPV,9477533.70589976,0,8166998.40081115,0,1310535.30508861
2003,Cape Verde,CPV,0,0,0,0,0
2004,Cape Verde,CPV,4942402.13514935,0,4942402.13514935,0,0
2005,Cape Verde,CPV,7126224.83040262,0,7126224.83040262,0,0
2006,Cape Verde,CPV,176343.327479734,0,176343.327479734,0,0
2007,Cape Verde,CPV,33998467.61134856,0,3176521.78445916,0,0
2008,Cape Verde,CPV,39233862.4876615,0,1581.20006050433,39232281.287601,0
2009,Cape Verde,CPV,25976951.3525791,0,25976951.3525791,0,0
2010,Cape Verde,CPV,0,0,0,0,0
2011,Cape Verde,CPV,18207274.885476008,0,18207274.885476008,0,0
2012,Cape Verde,CPV,97674270.05579296,0,96859466.3019391,814803.753853856,0
2013,Cape Verde,CPV,1962702.14217746,0,1962702.14217746,0,0
2014,Cape Verde,CPV,2023877.514161832,0,1542001.91555187,0,481875.598609962
2015,Cape Verde,CPV,11542897.426510094,804822.5085812476,10949359.9490743,593537.477435793,0
2016,Cape Verde,CPV,64607032.83628846,0,53987015.6206302,9077531.05506883,1542486.16058943
2017,Cape Verde,CPV,31284633.56392741,0,10404266.622484948,19428527.25015443,1451839.69128803
2000,Cuba,CUB,0,0,0,0,0
2001,Cuba,CUB,53699753.468718305,763896671.8440659,0,52381486.0693074,1318267.3994109
2002,Cuba,CUB,0,0,0,0,0
2003,Cuba,CUB,12686659.3475919,0,12686659.3475919,0,0
2004,Cuba,CUB,23885208.269037,35585295.37307532,23885208.269037,0,0
2005,Cuba,CUB,2528660.42369125,0,0,2528660.42369125,0
2006,Cuba,CUB,0,0,0,0,0
2007,Cuba,CUB,0,0,0,0,0
2008,Cuba,CUB,103238460.8056109,0,92649900.7229842,0,10588560.0826267
2009,Cuba,CUB,1434086.51557131,677931807.360982,0,1434086.51557131,0
2010,Cuba,CUB,0,0,0,0,0
2011,Cuba,CUB,4956298.1429503,0,4956298.1429503,0,0
2012,Cuba,CUB,407401.876926928,0,0,0,407401.876926928
2013,Cuba,CUB,5101224.81865388,0,0,5101224.81865388,0
2014,Cuba,CUB,115650143.66639,57825071.8331954,0,115650143.66639,0
2015,Cuba,CUB,46739056.1640448,59697880.64378129,0,46739056.1640448,0
2016,Cuba,CUB,2900728491.82341,497121313.96973604,0,0,0
2017,Cuba,CUB,81200000,188800000,0,67200000,14000000
2000,Algeria,DZA,0,0,0,0,0
2001,Algeria,DZA,0,0,0,0,0
2002,Algeria,DZA,0,0,0,0,0
2003,Algeria,DZA,1277285.29905012,42288864.491973,0,0,1277285.29905012
2004,Algeria,DZA,61697346.4486959,0,59308825.6217922,0,2388520.8269037
2005,Algeria,DZA,0,0,0,0,0
2006,Algeria,DZA,0,0,0,0,0
2007,Algeria,DZA,801245.9588490671,0,20528.4082185981,780717.550630469,0
2008,Algeria,DZA,0,0,0,0,0
2009,Algeria,DZA,1811110.22008373,0,0,0,1811110.22008373
2010,Algeria,DZA,57136569.9460779,0,57136569.9460779,0,0
2011,Algeria,DZA,0,0,0,0,0
2012,Algeria,DZA,0,0,0,0,0
2013,Algeria,DZA,0,0,0,0,0
2014,Algeria,DZA,0,0,0,0,0
2015,Algeria,DZA,0,0,0,0,0
2016,Algeria,DZA,17897466.92131916,0,15424861.6058943,2472605.31542486,0
2017,Algeria,DZA,29596978.9746759,0,29596978.9746759,0,0
2000,Ecuador,ECU,2487334.9107352,0,2487334.9107352,0,0
2001,Ecuador,ECU,498715.398618198,0,498715.398618198,0,0
2002,Ecuador,ECU,5665142.94963545,0,314528.473221267,0,108473.256059733
2003,Ecuador,ECU,0,0,0,0,0
2004,Ecuador,ECU,17013433.85003505,0,17013433.85003505,0,0
2005,Ecuador,ECU,2398130.046230115,0,2398130.046230115,0,0
2006,Ecuador,ECU,4583117.987183298,0,159258.926195558,4423859.06098774,0
2007,Ecuador,ECU,0,0,0,0,0
2008,Ecuador,ECU,1089513.8736476111,0,1089513.8736476111,0,0
2009,Ecuador,ECU,276715.981936819,1303715014.15573,276715.981936819,0,0
2010,Ecuador,ECU,327917.113775322,3640094862.715642,327917.113775322,0,0
2011,Ecuador,ECU,0,3834283538.336483,0,0,0
2012,Ecuador,ECU,10448516.557388503,2038205912.042912,0,6780743.82860307,2906033.06940131
2013,Ecuador,ECU,374807654.6241452,303625840.803307,3886647.48087915,370921007.1432661,0
2014,Ecuador,ECU,210097760.993943,1753287810.2242785,0,210097760.993943,0
2015,Ecuador,ECU,85564793.51770508,0,15282178.100350844,67154226.86047587,3128388.5568783702
2016,Ecuador,ECU,282746798.7645806,2807520017.58764,266814438.5194005,0,15932360.245180111
2017,Ecuador,ECU,53910897.20237221,64000000,53910897.20237221,0,0
2000,Eritrea,ERI,21526639.0301862,0,21526639.0301862,0,0
2001,Eritrea,ERI,6547685.75866343,0,0,0,0
2002,Eritrea,ERI,5206716.29086721,0,0,0,0
2003,Eritrea,ERI,4228886.4491973,0,0,0,0
2004,Eritrea,ERI,0,0,0,0,0
2005,Eritrea,ERI,13792693.2201341,0,0,13792693.2201341,0
2006,Eritrea,ERI,36718030.2061983,0,0,36718030.2061983,0
2007,Eritrea,ERI,98253511.13739787,124914808.100875,15626668.057540458,72362638.9705584,0
2008,Eritrea,ERI,0,0,0,0,0
2009,Eritrea,ERI,6518575.07077868,0,6518575.07077868,0,0
2010,Eritrea,ERI,7251798.93261013,72517989.3261013,0,0,0
2011,Eritrea,ERI,0,106800932.812163,0,0,0
2012,Eritrea,ERI,105581475.25985181,62678778.7652078,3870317.83080581,101711157.429046,0
2013,Eritrea,ERI,0,103967820.113517,0,0,0
2014,Eritrea,ERI,123180537.88307421,0,28154669.8371897,95025868.0458845,0
2015,Eritrea,ERI,938516.567063513,94874188.4692959,938516.567063513,0,0
2016,Eritrea,ERI,7174946.79956321,0,0,0,0
2017,Eritrea,ERI,0,591939.579493519,0,0,0
2000,Ethiopia,ETH,499336.87448413763,0,53816.5975754656,0,445520.276908672
2001,Ethiopia,ETH,301324498.6136904,0,218256.191955447,33611453.56113892,0
2002,Ethiopia,ETH,4408603.02037685,0,0,4408603.02037685,0
2003,Ethiopia,ETH,30487366.87473526,0,22991135.3829021,7496231.49183316,0
2004,Ethiopia,ETH,0,0,0,0,0
2005,Ethiopia,ETH,328062.20726947044,0,328062.20726947044,0,0
2006,Ethiopia,ETH,60410706.26261036,649309209.984815,19958823.879909683,39753628.0529121,88171.663739867
2007,Ethiopia,ETH,29745338.679020815,2342152651.89141,468430.530378281,0,390358.775315234
2008,Ethiopia,ETH,14429638.106910065,0,988381.1487715769,7617548.91269377,0
2009,Ethiopia,ETH,1042972.01132459,454996539.940352,0,0,0
2010,Ethiopia,ETH,674053793.7462391,794588436.118417,0,390307338.92411906,0
2011,Ethiopia,ETH,1037392570.0818006,155341956.775291,104749392.28282006,907790895.925783,24781490.71475147
2012,Ethiopia,ETH,41060389.819953635,6457851.26533626,98929.47521362817,40961460.34474,0
2013,Ethiopia,ETH,2674371433.997222,2389530706.749917,9481652.86076071,2664889781.1364613,0
2014,Ethiopia,ETH,485367849.7102155,609616786.4834265,3492251.100253544,481875598.609962,0
2015,Ethiopia,ETH,548568953.7062805,640828443.3800174,0,540747982.3140845,7820971.39219594
2016,Ethiopia,ETH,590650466.610611,105303770.417118,142491662.43152437,432168922.74006,15989881.43902659
2017,Ethiopia,ETH,74093886.62830071,751713420.2,20834.9865461095,53274562.1544167,20798489.487337902
2000,Fiji,FJI,16707.0103840752,0,16707.0103840752,0,0
2001,Fiji,FJI,261907.430346537,0,261907.430346537,0,0
2002,Fiji,FJI,288317.767119495,0,288317.767119495,0,0
2003,Fiji,FJI,532129.2396753953,0,0,0,532129.2396753953
2004,Fiji,FJI,9852244.215926992,0,6030610.892881062,3821633.32304593,0
2005,Fiji,FJI,1883545.43373399,0,1883545.43373399,0,0
2006,Fiji,FJI,36588153.11841773,2063216.93151288,71960.421644655,36516192.696773075,0
2007,Fiji,FJI,3472876.6120871385,0,350006.4095652686,3122870.20252187,0
2008,Fiji,FJI,5294280.041313379,0,0,5029566.03924771,0
2009,Fiji,FJI,5791591.933345735,91260050.9909016,1935708.3182752833,3816772.16464578,39111.4504246721
2010,Fiji,FJI,176078260.90776303,0,30621762.299438152,145424992.34152585,31506.2667990228
2011,Fiji,FJI,5418246.564845338,160201.399218244,2975011.0265156385,0,0
2012,Fiji,FJI,110055317.3591633,0,0,108707240.90752436,0
